Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
0.491,11,12,309,440
0.493,5,14,293,449
0.495,7,22,317,443
0.497,7,19,318,411
0.499,6,15,283,474
0.501,6,12,311,438
0.503,1,17,261,443
0.505,6,16,278,443
0.507,7,12,269,418
0.509,6,15,281,434
0.511,4,19,357,836
0.513,7,12,292,413
0.515,5,13,286,447
0.517,6,11,257,393
0.519,4,16,250,424
0.521,7,15,272,411
0.523,10,14,259,400
0.525,6,15,281,416
0.527,7,15,281,436
0.529,3,14,264,385
0.531,3,14,246,399
0.533,9,11,259,386
0.535,6,14,275,388
0.537,13,9,263,416
0.539,10,14,253,376
0.541,6,8,270,390
0.543,7,19,245,400
0.545,6,19,254,375
0.547,4,19,268,375
0.549,5,15,243,373
0.551,5,11,257,386
0.553,5,12,271,408
0.555,5,16,273,388
0.557,3,6,220,394
0.559,8,15,229,405
0.561,5,13,225,348
0.5630000000000001,5,12,283,366
0.5650000000000001,6,10,214,357
0.5670000000000001,8,15,214,383
0.5690000000000001,6,11,232,343
0.5710000000000001,6,15,233,361
0.5730000000000001,4,16,234,347
0.5750000000000001,7,15,239,360
0.577,2,12,229,369
0.579,4,16,239,336
0.581,4,10,222,317
0.583,4,11,237,329
0.585,2,14,236,336
0.587,3,13,248,349
0.589,4,15,227,298
0.591,6,17,208,344
0.593,7,7,211,353
0.595,4,12,218,364
0.597,3,13,201,335
0.599,7,10,229,318
0.601,2,11,209,376
0.603,4,13,224,332
0.605,5,15,203,326
0.607,3,6,203,352
0.609,2,10,213,307
0.611,3,13,189,314
0.613,7,12,200,326
0.615,5,7,232,293
0.617,3,10,216,323
0.619,2,12,191,332
0.621,6,9,198,299
0.623,4,6,212,301
0.625,8,6,211,301
0.627,10,9,202,323
0.629,2,20,195,332
0.631,3,15,211,323
0.633,5,11,204,361
0.635,5,8,180,288
0.637,6,15,195,289
0.639,4,10,228,305
0.641,3,14,212,282
0.643,3,10,204,284
0.645,5,10,196,298
0.647,8,9,187,303
0.649,3,13,193,314
0.651,2,7,213,279
0.653,8,5,194,285
0.655,2,9,196,326
0.657,4,12,174,289
0.659,5,15,194,302
0.661,8,13,186,294
0.663,5,9,174,296
0.665,1,12,225,301
0.667,3,13,192,288
0.669,3,13,186,256
0.671,10,15,185,280
0.673,7,11,178,288
0.675,3,9,191,252
0.677,2,10,177,267
0.679,6,10,168,278
0.681,2,5,202,275
0.683,7,10,177,272
0.685,4,3,198,254
0.687,4,11,172,266
0.6890000000000001,2,7,191,263
0.6910000000000001,2,8,202,270
0.6930000000000001,6,9,178,247
0.6950000000000001,5,7,187,275
0.6970000000000001,4,7,186,259
0.6990000000000001,4,10,182,255
0.7010000000000001,4,12,177,300
0.7030000000000001,4,11,153,258
0.705,3,7,167,254
0.707,2,11,166,267
0.709,4,9,147,253
0.711,3,9,166,251
0.713,4,8,173,271
0.715,6,10,143,243
0.717,5,10,175,267
0.719,2,15,165,279
0.721,2,11,164,239
0.723,5,18,169,268
0.725,6,6,164,249
0.727,7,9,183,248
0.729,3,7,177,225
0.731,2,10,169,275
0.733,3,6,191,214
0.735,5,6,156,236
0.737,2,5,152,260
0.739,3,4,170,246
0.741,5,2,176,233
0.743,3,9,166,265
0.745,1,8,170,223
0.747,3,10,164,239
0.749,7,10,133,251
0.751,6,6,144,230
0.753,2,8,148,237
0.755,4,5,155,221
0.757,3,12,140,257
0.759,3,8,148,235
0.761,5,7,148,199
0.763,4,8,149,238
0.765,1,10,155,239
0.767,4,4,155,246
0.769,3,6,136,229
0.771,3,4,133,234
0.773,1,10,135,243
0.775,7,8,154,223
0.777,1,13,149,232
0.779,1,10,151,214
0.781,1,7,137,216
0.783,4,6,121,215
0.785,4,6,153,233
0.787,2,8,140,203
0.789,2,6,129,222
0.791,1,4,135,210
0.793,4,16,159,206
0.795,0,8,135,191
0.797,3,10,144,232
0.799,2,2,138,224
0.801,3,8,136,199
0.803,3,9,134,235
0.805,4,6,137,197
0.807,5,7,151,214
0.809,5,3,156,206
0.811,0,3,144,196
0.8130000000000001,0,7,137,229
0.8150000000000001,2,8,135,230
0.8170000000000001,6,11,138,230
0.8190000000000001,3,9,124,223
0.8210000000000001,3,5,140,219
0.8230000000000001,2,4,135,217
0.8250000000000001,1,8,139,199
0.8270000000000001,0,7,142,213
0.8290000000000001,6,3,133,196
0.8310000000000001,1,8,150,222
0.833,1,4,126,206
0.835,0,10,151,214
0.837,5,7,122,209
0.839,3,12,159,184
0.841,4,6,146,177
0.843,4,4,118,190
0.845,4,4,120,221
0.847,3,3,134,205
0.849,2,3,139,193
0.851,3,2,110,204
0.853,2,4,129,191
0.855,2,7,133,182
0.857,6,3,126,191
0.859,1,11,109,176
0.861,2,9,105,205
0.863,2,3,145,191
0.865,2,12,122,175
0.867,3,4,123,202
0.869,2,8,111,174
0.871,1,9,126,176
0.873,0,8,125,196
0.875,1,9,123,199
0.877,3,7,118,188
0.879,0,7,139,194
0.881,0,3,104,204
0.883,6,10,100,197
0.885,2,10,109,210
0.887,2,6,107,198
0.889,0,4,97,182
0.891,4,8,136,175
0.893,0,7,121,181
0.895,2,8,125,149
0.897,4,10,118,197
0.899,2,5,116,189
0.901,4,4,139,190
0.903,3,4,125,175
0.905,5,9,112,180
0.907,4,4,128,180
0.909,1,5,98,163
0.911,4,5,102,168
0.913,4,7,111,202
0.915,4,3,92,178
0.917,0,4,104,196
0.919,2,9,94,177
0.921,2,6,98,182
0.923,4,9,127,150
0.925,3,6,118,168
0.927,1,4,93,178
0.929,1,4,119,171
0.931,1,5,127,175
0.933,2,7,125,176
0.935,1,6,100,193
0.937,4,5,103,165
0.9390000000000001,0,6,94,169
0.9410000000000001,0,5,108,184
0.9430000000000001,2,5,105,141
0.9450000000000001,0,7,104,180
0.9470000000000001,2,5,95,180
0.9490000000000001,4,5,113,160
0.9510000000000001,2,5,97,162
0.9530000000000001,0,4,111,186
0.9550000000000001,1,6,113,167
0.9570000000000001,2,6,106,168
0.9590000000000001,1,2,114,156
0.961,3,2,111,164
0.963,3,5,102,156
0.965,4,9,105,182
0.967,1,0,131,166
0.969,4,6,99,159
0.971,0,8,102,174
0.973,5,7,115,162
0.975,1,9,101,146
0.977,2,4,98,165
0.979,1,6,99,150
0.981,1,5,108,184
0.983,0,6,103,143
0.985,3,3,109,134
0.987,0,10,89,151
0.989,1,2,105,161
0.991,0,4,94,185
0.993,2,8,117,145
0.995,3,4,93,160
0.997,3,3,112,143
0.999,4,6,87,163
1.001,1,4,94,132
1.0030000000000001,2,6,94,154
1.005,1,4,85,143
1.0070000000000001,1,12,97,135
1.009,1,6,85,155
1.0110000000000001,1,4,74,150
1.013,1,7,95,145
1.0150000000000001,0,8,69,137
1.017,1,5,96,169
1.0190000000000001,0,7,104,132
1.021,1,9,85,134
1.0230000000000001,0,4,93,168
1.025,3,3,83,150
1.0270000000000001,0,7,89,161
1.029,4,5,89,141
1.0310000000000001,1,4,97,131
1.033,3,2,93,163
1.0350000000000001,2,9,85,130
1.037,1,4,77,159
1.0390000000000001,4,3,81,142
1.041,1,6,101,150
1.0430000000000001,3,4,87,152
1.045,3,1,105,140
1.0470000000000002,1,0,94,142
1.049,1,3,92,133
1.0510000000000002,4,6,100,121
1.053,2,1,104,144
1.0550000000000002,3,3,90,132
1.057,1,3,95,132
1.0590000000000002,1,5,74,124
1.061,2,5,75,135
1.0630000000000002,2,7,83,135
1.065,1,1,88,141
1.0670000000000002,0,2,91,154
1.069,3,6,81,138
1.0710000000000002,2,5,78,139
1.073,4,1,85,143
1.0750000000000002,1,5,80,128
1.077,1,7,89,139
1.0790000000000002,3,3,97,110
1.081,1,3,78,139
1.0830000000000002,2,5,92,136
1.085,0,4,66,136
1.0870000000000002,1,4,88,102
1.089,0,9,80,147
1.0910000000000002,2,8,72,159
1.093,0,5,71,143
1.0950000000000002,3,6,79,107
1.097,0,2,91,122
1.0990000000000002,1,2,86,132
1.101,0,4,105,135
1.1030000000000002,2,8,76,106
1.105,4,7,88,139
1.1070000000000002,3,8,77,124
1.109,0,6,74,118
1.1110000000000002,1,3,65,117
1.113,0,4,81,123
1.1150000000000002,4,2,82,131
1.117,1,5,58,138
1.1190000000000002,4,2,86,137
1.121,2,9,71,124
1.1230000000000002,3,2,89,119
1.125,0,5,82,107
1.1270000000000002,2,5,81,129
1.129,2,4,75,127
1.1310000000000002,2,4,75,119
1.133,4,3,94,114
1.1350000000000002,2,4,84,133
1.137,1,3,79,124
1.1390000000000002,2,2,70,142
1.141,1,2,77,120
1.1430000000000002,3,3,68,122
1.145,1,6,85,126
1.1470000000000002,3,10,84,118
1.149,0,4,76,134
1.1510000000000002,4,1,73,113
1.153,0,6,69,127
1.1549999999999998,2,3,78,132
1.157,1,6,66,123
1.1589999999999998,0,3,75,122
1.161,1,5,85,115
1.1629999999999998,1,1,70,145
1.165,1,5,64,110
1.1669999999999998,1,2,74,129
1.169,2,3,71,112
1.1709999999999998,1,4,72,112
1.173,1,2,68,105
1.1749999999999998,0,6,77,117
1.177,1,6,83,115
1.1789999999999998,0,0,86,104
1.181,1,2,66,122
1.1829999999999998,2,6,70,117
1.185,0,4,60,121
1.1869999999999998,2,7,78,117
1.189,3,4,61,116
1.1909999999999998,1,3,71,104
1.193,5,2,61,112
1.1949999999999998,1,5,75,142
1.197,2,0,67,103
1.1989999999999998,0,4,64,105
1.201,0,3,73,110
1.2029999999999998,2,4,74,114
1.205,1,4,79,104
1.2069999999999999,0,3,67,101
1.209,1,5,66,118
1.2109999999999999,0,1,52,113
1.213,2,5,55,118
1.2149999999999999,2,7,72,110
1.217,1,2,79,97
1.2189999999999999,1,4,60,112
1.221,2,3,76,128
1.2229999999999999,2,4,61,117
1.225,1,1,59,100
1.2269999999999999,1,3,56,93
1.229,3,3,68,78
1.2309999999999999,2,0,59,122
1.233,1,4,54,98
1.2349999999999999,2,3,62,101
1.237,2,5,56,106
1.2389999999999999,2,2,61,111
1.241,1,4,63,92
1.2429999999999999,3,1,68,93
1.245,2,3,63,120
1.2469999999999999,1,4,70,104
1.249,1,5,78,119
1.251,2,2,56,111
1.2530000000000001,1,4,79,109
1.255,1,4,60,114
1.2570000000000001,2,5,60,96
1.259,1,6,69,89
1.2610000000000001,1,1,63,120
1.263,2,6,67,111
1.2650000000000001,0,2,61,88
1.267,2,5,48,113
1.2690000000000001,1,3,56,97
1.271,2,4,58,93
1.2730000000000001,2,4,68,100
1.275,1,1,65,108
1.2770000000000001,2,2,52,110
1.279,0,2,62,97
1.2810000000000001,3,1,58,87
1.283,2,2,65,99
1.2850000000000001,1,3,70,103
1.287,0,1,58,100
1.2890000000000001,0,2,66,104
1.291,0,6,63,107
1.2930000000000001,0,3,71,98
1.295,2,2,70,94
1.2970000000000002,1,4,52,96
1.299,0,2,53,103
1.3010000000000002,1,1,72,89
1.303,1,4,63,112
1.3050000000000002,0,0,65,98
1.307,0,3,46,98
1.3090000000000002,0,6,47,118
1.311,0,4,67,95
1.3130000000000002,2,3,49,97
1.315,1,1,70,92
1.3170000000000002,0,3,41,97
1.319,0,4,66,98
1.3210000000000002,2,3,58,93
1.323,0,1,64,88
1.3250000000000002,1,2,54,105
1.327,0,2,56,94
1.3290000000000002,1,6,48,90
1.331,3,3,53,94
1.3330000000000002,0,1,53,93
1.335,2,1,59,100
1.3370000000000002,0,0,58,89
1.339,2,0,71,107
1.3410000000000002,0,3,49,93
1.343,2,4,54,90
1.3450000000000002,2,3,54,88
1.347,0,2,50,80
1.3490000000000002,1,4,56,76
1.351,1,1,70,89
1.3530000000000002,1,3,73,89
1.355,2,4,56,91
1.3570000000000002,1,4,64,103
1.359,0,6,60,94
1.3610000000000002,1,3,46,80
1.363,2,3,51,85
1.3650000000000002,3,2,69,99
1.367,0,3,49,79
1.3690000000000002,1,3,41,91
1.371,0,1,57,103
1.3730000000000002,1,1,68,77
1.375,2,5,53,74
1.3770000000000002,0,0,53,79
1.379,1,0,55,81
1.3810000000000002,1,0,50,88
1.383,0,3,52,88
1.3850000000000002,2,1,49,88
1.387,0,0,72,80
1.3890000000000002,2,4,43,95
1.391,1,2,51,82
1.3930000000000002,0,2,56,100
1.395,1,1,60,73
1.3970000000000002,0,1,52,91
1.399,2,1,54,82
1.4010000000000002,0,2,59,81
1.403,1,8,53,80
1.4050000000000002,0,5,51,77
1.407,0,2,46,81
1.4089999999999998,1,5,51,68
1.411,1,1,46,83
1.4129999999999998,0,4,59,68
1.415,3,3,59,71
1.4169999999999998,1,4,62,85
1.419,2,3,45,85
1.4209999999999998,0,2,55,92
1.423,0,2,53,101
1.4249999999999998,2,2,48,95
1.427,0,2,49,79
1.4289999999999998,0,1,43,82
1.431,2,2,41,86
1.4329999999999998,1,0,40,76
1.435,1,3,44,82
1.4369999999999998,0,1,48,80
1.439,1,3,49,81
1.4409999999999998,0,1,54,98
1.443,1,2,50,86
1.4449999999999998,0,3,63,83
1.447,1,3,44,96
1.4489999999999998,0,5,38,76
1.451,1,4,69,73
1.4529999999999998,0,4,48,82
1.455,0,6,68,81
1.4569999999999999,1,5,52,74
1.459,0,2,47,93
1.4609999999999999,2,0,58,77
1.463,0,5,47,81
1.4649999999999999,1,4,50,87
1.467,4,1,51,96
1.4689999999999999,1,2,46,82
1.471,2,2,53,78
1.4729999999999999,1,2,39,76
1.475,0,1,46,80
1.4769999999999999,4,2,53,67
1.479,1,3,51,75
1.4809999999999999,0,8,50,67
1.483,0,3,47,75
1.4849999999999999,1,1,53,93
1.487,2,3,45,77
1.4889999999999999,1,3,51,90
1.491,0,2,50,65
1.4929999999999999,1,2,57,75
1.495,2,2,47,91
1.4969999999999999,0,3,46,58
1.499,1,2,52,87
1.501,1,4,61,71
1.5030000000000001,1,4,51,66
1.505,0,3,44,68
1.5070000000000001,0,2,44,66
1.509,1,2,44,85
1.5110000000000001,2,2,39,70
1.513,2,0,36,75
1.5150000000000001,0,2,40,62
1.517,1,4,46,74
1.5190000000000001,2,4,47,78
1.521,0,5,36,72
1.5230000000000001,1,3,53,62
1.525,2,3,35,67
1.5270000000000001,0,1,37,73
1.529,3,3,41,72
1.5310000000000001,0,1,43,86
1.533,1,2,31,64
1.5350000000000001,0,2,40,75
1.537,1,1,45,72
1.5390000000000001,1,2,40,59
1.541,0,2,33,74
1.5430000000000001,1,1,50,83
1.545,1,4,44,76
1.5470000000000002,0,0,34,75
1.549,0,2,35,74
1.5510000000000002,1,3,46,74
1.553,2,1,49,57
1.5550000000000002,1,4,48,72
1.557,1,1,48,68
1.5590000000000002,0,4,48,62
1.561,1,1,44,80
1.5630000000000002,2,2,42,75
1.565,0,3,37,81
1.5670000000000002,3,1,51,68
1.569,1,1,41,61
1.5710000000000002,2,0,44,89
1.573,0,0,41,73
1.5750000000000002,2,1,39,73
1.577,0,3,58,67
1.5790000000000002,0,6,36,67
1.581,1,2,33,68
1.5830000000000002,0,2,45,71
1.585,1,3,44,72
1.5870000000000002,2,2,43,63
1.589,0,2,51,68
1.5910000000000002,0,1,35,60
1.593,0,2,52,68
1.5950000000000002,0,3,45,72
1.597,0,1,26,59
1.5990000000000002,1,2,35,70
1.601,2,1,39,68
1.6030000000000002,1,3,30,64
1.605,2,2,40,71
1.6070000000000002,0,4,39,70
1.609,2,1,27,70
1.6110000000000002,1,0,38,81
1.613,0,4,40,52
1.6150000000000002,0,0,60,70
1.617,0,0,35,66
1.6190000000000002,1,2,41,51
1.621,1,2,44,64
1.6230000000000002,2,1,24,59
1.625,0,4,40,73
1.6270000000000002,0,3,30,79
1.629,1,0,36,65
1.6310000000000002,1,1,34,51
1.633,0,2,39,63
1.6350000000000002,1,4,45,73
1.637,1,4,37,48
1.6390000000000002,0,1,29,62
1.641,0,2,34,66
1.6430000000000002,0,1,38,64
1.645,0,3,33,73
1.6470000000000002,1,2,40,66
1.649,1,2,41,65
1.6510000000000002,1,1,49,55
1.653,2,4,33,57
1.6550000000000002,0,0,34,57
1.657,0,2,33,70
1.6590000000000003,2,4,44,63
1.661,1,0,28,72
1.6630000000000003,3,3,43,67
1.665,0,1,41,65
1.6669999999999998,0,1,44,52
1.669,0,0,46,63
1.6709999999999998,1,1,49,65
1.673,1,2,36,68
1.6749999999999998,2,4,28,46
1.677,0,1,42,62
1.6789999999999998,3,0,37,64
1.681,0,3,31,58
