Energy_MeV,Counts
0.001,0
0.003,0
0.005,0
0.007,3
0.009000000000000001,50
0.011,15
0.013000000000000001,12
0.015,10
0.017,15
0.019000000000000003,16
0.020999999999999998,31
0.023,37
0.025,27
0.027000000000000003,42
0.028999999999999998,49
0.031,52
0.033,69
0.035,71
0.037000000000000005,58
0.039,58
0.041,66
0.043,84
0.045,78
0.047,90
0.049,77
0.051000000000000004,80
0.053000000000000005,84
0.055,78
0.057,66
0.059,321
0.061,71
0.063,81
0.065,67
0.067,127
0.069,69
0.07100000000000001,33
0.07300000000000001,34
0.075,38
0.077,43
0.079,50
0.081,43
0.083,36
0.085,30
0.087,41
0.089,39
0.091,34
0.093,23
0.095,27
0.097,37
0.099,35
0.101,31
0.10300000000000001,28
0.10500000000000001,26
0.107,38
0.109,28
0.111,33
0.113,32
0.115,40
0.117,42
0.119,26
0.121,37
0.123,35
0.125,33
0.127,36
0.129,26
0.131,27
0.133,26
0.135,26
0.137,22
0.139,28
0.14100000000000001,35
0.14300000000000002,34
0.14500000000000002,35
0.147,31
0.149,21
0.151,20
0.153,27
0.155,24
0.157,18
0.159,28
0.161,19
0.163,23
0.165,33
0.167,28
0.169,29
0.171,32
0.17300000000000001,25
0.175,24
0.177,19
0.179,25
0.181,23
0.183,22
0.185,17
0.187,14
0.189,17
0.191,23
0.193,21
0.195,14
0.197,34
0.199,21
0.201,15
0.203,20
0.20500000000000002,20
0.20700000000000002,14
0.20900000000000002,15
0.211,16
0.213,16
0.215,18
0.217,17
0.219,12
0.221,28
0.223,16
0.225,25
0.227,12
0.229,16
0.231,19
0.233,18
0.23500000000000001,15
0.23700000000000002,18
0.239,14
0.241,11
0.243,15
0.245,16
0.247,18
0.249,10
0.251,20
0.253,20
0.255,11
0.257,10
0.259,18
0.261,17
0.263,9
0.265,22
0.267,11
0.269,14
0.271,10
0.273,21
0.275,10
0.277,17
0.279,14
0.281,20
0.28300000000000003,12
0.28500000000000003,5
0.28700000000000003,9
0.28900000000000003,13
0.291,10
0.293,16
0.295,6
0.297,16
0.299,13
0.301,13
0.303,11
0.305,17
0.307,11
0.309,6
0.311,12
0.313,11
0.315,11
0.317,12
0.319,11
0.321,6
0.323,15
0.325,11
0.327,9
0.329,14
0.331,13
0.333,9
0.335,15
0.337,6
0.339,7
0.341,11
0.343,8
0.34500000000000003,13
0.34700000000000003,17
0.34900000000000003,13
0.351,12
0.353,5
0.355,9
0.357,8
0.359,13
0.361,10
0.363,8
0.365,13
0.367,10
0.369,11
0.371,7
0.373,10
0.375,10
0.377,9
0.379,8
0.381,8
0.383,12
0.385,12
0.387,10
0.389,8
0.391,5
0.393,7
0.395,6
0.397,6
0.399,6
0.401,11
0.403,5
0.405,5
0.40700000000000003,6
0.40900000000000003,7
0.41100000000000003,11
0.41300000000000003,4
0.41500000000000004,6
0.41700000000000004,10
0.419,4
0.421,8
0.423,7
0.425,10
0.427,8
0.429,14
0.431,7
0.433,9
0.435,3
0.437,7
0.439,11
0.441,8
0.443,3
0.445,6
0.447,6
0.449,5
0.451,10
0.453,6
0.455,8
0.457,10
0.459,7
0.461,7
0.463,7
0.465,5
0.467,6
0.46900000000000003,9
0.47100000000000003,7
0.47300000000000003,4
0.47500000000000003,10
0.47700000000000004,7
0.479,8
0.481,8
0.483,4
0.485,7
0.487,8
0.489,8
0.491,11
0.493,5
0.495,7
0.497,7
0.499,6
0.501,6
0.503,1
0.505,6
0.507,7
0.509,6
0.511,4
0.513,7
0.515,5
0.517,6
0.519,4
0.521,7
0.523,10
0.525,6
0.527,7
0.529,3
0.531,3
0.533,9
0.535,6
0.537,13
0.539,10
0.541,6
0.543,7
0.545,6
0.547,4
0.549,5
0.551,5
0.553,5
0.555,5
0.557,3
0.559,8
0.561,5
0.5630000000000001,5
0.5650000000000001,6
0.5670000000000001,8
0.5690000000000001,6
0.5710000000000001,6
0.5730000000000001,4
0.5750000000000001,7
0.577,2
0.579,4
0.581,4
0.583,4
0.585,2
0.587,3
0.589,4
0.591,6
0.593,7
0.595,4
0.597,3
0.599,7
0.601,2
0.603,4
0.605,5
0.607,3
0.609,2
0.611,3
0.613,7
0.615,5
0.617,3
0.619,2
0.621,6
0.623,4
0.625,8
0.627,10
0.629,2
0.631,3
0.633,5
0.635,5
0.637,6
0.639,4
0.641,3
0.643,3
0.645,5
0.647,8
0.649,3
0.651,2
0.653,8
0.655,2
0.657,4
0.659,5
0.661,8
0.663,5
0.665,1
0.667,3
0.669,3
0.671,10
0.673,7
0.675,3
0.677,2
0.679,6
0.681,2
0.683,7
0.685,4
0.687,4
0.6890000000000001,2
0.6910000000000001,2
0.6930000000000001,6
0.6950000000000001,5
0.6970000000000001,4
0.6990000000000001,4
0.7010000000000001,4
0.7030000000000001,4
0.705,3
0.707,2
0.709,4
0.711,3
0.713,4
0.715,6
0.717,5
0.719,2
0.721,2
0.723,5
0.725,6
0.727,7
0.729,3
0.731,2
0.733,3
0.735,5
0.737,2
0.739,3
0.741,5
0.743,3
0.745,1
0.747,3
0.749,7
0.751,6
0.753,2
0.755,4
0.757,3
0.759,3
0.761,5
0.763,4
0.765,1
0.767,4
0.769,3
0.771,3
0.773,1
0.775,7
0.777,1
0.779,1
0.781,1
0.783,4
0.785,4
0.787,2
0.789,2
0.791,1
0.793,4
0.795,0
0.797,3
0.799,2
0.801,3
0.803,3
0.805,4
0.807,5
