Energy_MeV,Counts
0.001,12
0.003,36
0.005,52
0.007,110
0.009000000000000001,342
0.011,108
0.013000000000000001,74
0.015,85
0.017,112
0.019000000000000003,133
0.020999999999999998,163
0.023,198
0.025,235
0.027000000000000003,243
0.028999999999999998,273
0.031,339
0.033,389
0.035,458
0.037000000000000005,467
0.039,502
0.041,545
0.043,663
0.045,679
0.047,744
0.049,805
0.051000000000000004,899
0.053000000000000005,1023
0.055,1112
0.057,1276
0.059,12715
0.061,1259
0.063,1297
0.065,1384
0.067,4645
0.069,2122
0.07100000000000001,275
0.07300000000000001,286
0.075,333
0.077,331
0.079,356
0.081,342
0.083,360
0.085,394
0.087,428
0.089,458
0.091,423
0.093,476
0.095,524
0.097,464
0.099,526
0.101,499
0.10300000000000001,562
0.10500000000000001,604
0.107,572
0.109,633
0.111,586
0.113,608
0.115,670
0.117,651
0.119,665
0.121,645
0.123,704
0.125,668
0.127,703
0.129,735
0.131,694
0.133,727
0.135,796
0.137,722
0.139,740
0.14100000000000001,822
0.14300000000000002,743
0.14500000000000002,790
0.147,744
0.149,793
0.151,800
0.153,828
0.155,753
0.157,785
0.159,781
0.161,856
0.163,800
0.165,806
0.167,744
0.169,776
0.171,832
0.17300000000000001,782
0.175,789
0.177,800
0.179,770
0.181,773
0.183,780
0.185,770
0.187,739
0.189,809
0.191,776
0.193,726
0.195,771
0.197,726
0.199,758
0.201,704
0.203,740
0.20500000000000002,712
0.20700000000000002,758
0.20900000000000002,769
0.211,737
0.213,751
0.215,720
0.217,716
0.219,734
0.221,713
0.223,737
0.225,695
0.227,706
0.229,698
0.231,657
0.233,658
0.23500000000000001,673
0.23700000000000002,665
0.239,725
0.241,625
0.243,660
0.245,640
0.247,623
0.249,669
0.251,575
0.253,671
0.255,602
0.257,610
0.259,619
0.261,686
0.263,637
0.265,639
0.267,582
0.269,644
0.271,666
0.273,576
0.275,583
0.277,625
0.279,599
0.281,575
0.28300000000000003,584
0.28500000000000003,562
0.28700000000000003,563
0.28900000000000003,562
0.291,532
0.293,577
0.295,546
0.297,584
0.299,581
0.301,560
0.303,523
0.305,525
0.307,559
0.309,512
0.311,497
0.313,507
0.315,477
0.317,480
0.319,475
0.321,496
0.323,521
0.325,500
0.327,476
0.329,484
0.331,506
0.333,473
0.335,468
0.337,481
0.339,485
0.341,493
0.343,486
