Energy_MeV,Counts
0.001,4
0.003,8
0.005,25
0.007,55
0.009000000000000001,231
0.011,48
0.013000000000000001,46
0.015,48
0.017,55
0.019000000000000003,67
0.020999999999999998,73
0.023,90
0.025,122
0.027000000000000003,121
0.028999999999999998,145
0.031,163
0.033,176
0.035,190
0.037000000000000005,217
0.039,226
0.041,264
0.043,305
0.045,344
0.047,347
0.049,444
0.051000000000000004,491
0.053000000000000005,543
0.055,560
0.057,692
0.059,10566
0.061,741
0.063,795
0.065,821
0.067,4044
0.069,1623
0.07100000000000001,119
0.07300000000000001,131
0.075,148
0.077,164
0.079,166
0.081,163
0.083,190
0.085,186
0.087,209
0.089,237
0.091,211
0.093,231
0.095,255
0.097,268
0.099,297
0.101,274
0.10300000000000001,316
0.10500000000000001,312
0.107,328
0.109,386
0.111,359
0.113,390
0.115,409
0.117,432
0.119,418
0.121,457
0.123,441
0.125,489
0.127,488
0.129,513
0.131,557
0.133,526
0.135,584
0.137,572
0.139,568
0.14100000000000001,590
0.14300000000000002,606
0.14500000000000002,628
0.147,654
0.149,593
0.151,640
0.153,648
0.155,694
0.157,686
0.159,723
0.161,725
0.163,726
0.165,759
0.167,707
0.169,747
0.171,767
0.17300000000000001,773
0.175,795
0.177,761
0.179,802
0.181,817
0.183,834
0.185,819
0.187,834
0.189,797
0.191,865
0.193,848
0.195,846
0.197,869
0.199,825
0.201,794
0.203,871
0.20500000000000002,824
0.20700000000000002,834
0.20900000000000002,847
0.211,825
0.213,862
0.215,859
0.217,828
0.219,819
0.221,832
0.223,892
0.225,849
0.227,831
0.229,864
0.231,885
0.233,852
0.23500000000000001,844
0.23700000000000002,843
0.239,840
0.241,793
0.243,785
0.245,833
0.247,798
0.249,842
0.251,776
0.253,800
0.255,772
0.257,838
0.259,838
0.261,876
0.263,765
0.265,816
0.267,749
0.269,806
0.271,778
0.273,784
0.275,775
0.277,758
0.279,783
0.281,759
0.28300000000000003,803
0.28500000000000003,790
0.28700000000000003,792
0.28900000000000003,728
0.291,753
0.293,788
0.295,728
0.297,760
0.299,686
0.301,783
0.303,747
0.305,743
0.307,710
0.309,668
0.311,691
0.313,694
0.315,685
0.317,698
0.319,696
0.321,692
0.323,687
0.325,702
0.327,716
0.329,644
0.331,651
0.333,676
0.335,677
0.337,643
0.339,682
0.341,715
0.343,662
0.34500000000000003,603
0.34700000000000003,636
0.34900000000000003,652
0.351,632
0.353,690
0.355,642
0.357,620
0.359,664
0.361,578
0.363,648
0.365,607
0.367,622
0.369,619
0.371,581
0.373,618
0.375,653
0.377,576
0.379,595
0.381,583
0.383,577
