Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.001000,6,8,2,125
1.003000,3,1,6,132
1.005000,5,9,3,132
1.007000,4,4,3,109
1.009000,0,11,3,130
1.011000,5,8,1,128
1.013000,4,7,2,128
1.015000,5,10,1,123
1.017000,2,9,1,106
1.019000,0,11,1,106
1.021000,3,6,4,116
1.023000,2,6,2,127
1.025000,2,7,4,105
1.027000,7,9,3,111
1.029000,3,13,2,114
1.031000,4,4,2,135
1.033000,4,14,6,110
1.035000,4,7,3,94
1.037000,4,12,4,104
1.039000,4,7,0,138
1.041000,3,8,4,117
1.043000,3,6,3,101
1.045000,6,4,2,82
1.047000,0,7,3,108
1.049000,5,3,3,120
1.051000,3,8,2,120
1.053000,8,5,2,103
1.055000,3,10,5,113
1.057000,6,8,2,123
1.059000,3,5,2,124
1.061000,5,11,4,114
1.063000,1,11,5,102
1.065000,3,6,2,110
1.067000,3,6,1,107
1.069000,6,12,2,103
1.071000,2,6,4,107
1.073000,3,13,2,99
1.075000,2,7,4,118
1.077000,2,8,2,108
1.079000,1,13,2,109
1.081000,5,8,1,111
1.083000,4,7,0,115
1.085000,4,8,1,90
1.087000,4,3,2,105
1.089000,1,7,7,95
1.091000,3,10,2,104
1.093000,5,3,4,90
1.095000,2,2,5,92
1.097000,3,8,3,97
1.099000,3,9,2,98
1.101000,4,8,2,88
1.103000,5,11,2,130
1.105000,4,5,6,107
1.107000,1,13,4,96
1.109000,1,8,2,90
1.111000,4,7,3,100
1.113000,6,4,3,108
1.115000,4,11,1,97
1.117000,5,11,3,90
1.119000,4,10,1,114
1.121000,4,11,0,102
1.123000,7,8,3,102
1.125000,3,6,1,109
1.127000,4,8,2,107
1.129000,2,5,1,99
1.131000,2,5,2,93
1.133000,2,10,0,106
1.135000,3,3,0,112
1.137000,3,8,3,86
1.139000,1,10,2,88
1.141000,2,6,1,93
1.143000,3,11,3,111
1.145000,4,3,5,122
1.147000,3,7,2,87
1.149000,2,7,1,91
1.151000,2,7,2,111
1.153000,1,7,4,98
1.155000,6,7,2,90
1.157000,2,8,1,94
1.159000,3,9,1,77
1.161000,1,11,2,82
1.163000,1,7,2,96
1.165000,1,10,3,87
1.167000,4,10,2,96
1.169000,2,8,0,101
1.171000,7,7,1,83
1.173000,4,8,3,109
1.175000,4,9,2,105
1.177000,4,9,2,97
1.179000,0,7,1,91
1.181000,3,4,2,93
1.183000,5,6,0,91
1.185000,0,8,2,83
1.187000,3,7,3,86
1.189000,1,9,3,89
1.191000,1,6,2,81
1.193000,2,4,1,77
1.195000,0,8,2,83
1.197000,3,9,4,95
1.199000,5,7,2,84
1.201000,3,8,1,83
1.203000,3,3,2,77
1.205000,3,5,2,83
1.207000,5,7,1,105
1.209000,3,9,1,79
1.211000,2,9,2,98
1.213000,4,5,3,88
1.215000,3,7,1,88
1.217000,0,14,2,98
1.219000,2,9,4,79
1.221000,5,8,1,77
1.223000,0,7,1,89
1.225000,1,4,2,88
1.227000,2,7,1,84
1.229000,2,8,4,89
1.231000,2,5,2,87
1.233000,5,10,1,89
1.235000,2,6,1,69
1.237000,2,6,4,97
1.239000,4,7,1,84
1.241000,4,10,1,87
